Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,1000,0,22,23.261710669408785,5.9324999747332186,77.26116699632257,290.883,9.420466113473832,0.0,22,26,29,31,37,41,48,53,77,77,77
POST,Add to Cart,2602,0,11,16.02513235740451,3.9407910080626607,174.16212501120754,62.961183704842426,24.51205282725891,0.0,11,15,18,21,33,46,64,73,170,170,170
GET,Browse Products,9747,0,7,11.358241494297843,2.029499999480322,173.35666599683464,822.0,91.82128320802944,0.0,7,10,13,15,24,34,48,60,140,170,170
POST,Finalize Order,858,103,11,16.374494518810884,3.25108299148269,171.13887498271652,93.35198135198135,8.082759925360548,0.9703080096878047,11,15,18,21,35,50,63,76,170,170,170
GET,View Product Details,4312,0,7,10.911472995911783,2.1515409753192216,168.01141601172276,60.90120593692022,40.621049881299164,0.0,7,9,12,14,23,34,47,61,110,170,170
,Aggregated,18519,103,8,12.785111116356592,2.029499999480322,174.16212501120754,475.6976078621956,174.4576119554219,0.9703080096878047,8,12,15,18,28,38,51,64,140,170,170
